spin index,aktuální kredit,bet,vyhra,nasobok
 787,216200,100,0,0
 788,216100,100,0,0
 789,216000,100,0,0
 790,216000,100,100,1
 791,216000,100,100,1
 792,216900,100,1000,10
 793,216800,100,0,0
 794,216700,100,0,0
 795,216600,100,0,0
 796,216500,100,0,0
 797,216400,100,0,0
 798,221300,100,5000,50
 799,221200,100,0,0
 800,221100,100,0,0
 801,221000,100,0,0
 802,220900,100,0,0
 803,220800,100,0,0
 804,220700,100,0,0
 805,220600,100,0,0
 806,220500,100,0,0
 807,220500,100,100,1
 808,220400,100,0,0
 809,220300,100,0,0
 810,220200,100,0,0
 811,220100,100,0,0
 812,220000,100,0,0
 813,220900,100,1000,10
 814,220800,100,0,0
 815,220700,100,0,0
 816,220600,100,0,0
 817,220500,100,0,0
 818,220400,100,0,0
 819,220300,100,0,0
 820,220200,100,0,0
 821,220200,100,100,1
 822,225100,100,5000,50
 823,225000,100,0,0
 824,224900,100,0,0
 825,224800,100,0,0
 826,224700,100,0,0
 827,229600,100,5000,50
 828,229500,100,0,0
 829,229400,100,0,0
 830,229300,100,0,0
 831,229200,100,0,0
 832,230100,100,1000,10
 833,230000,100,0,0
 834,229900,100,0,0
 835,229800,100,0,0
 836,229700,100,0,0
 837,229700,100,100,1
 838,229600,100,0,0
 839,229500,100,0,0
 840,229500,100,100,1
 841,229400,100,0,0
 842,229300,100,0,0
 843,229200,100,0,0
 844,229100,100,0,0
 845,229000,100,0,0
 846,228900,100,0,0
 847,228800,100,0,0
 848,228700,100,0,0
 849,233600,100,5000,50
 850,233500,100,0,0
 851,233400,100,0,0
 852,233300,100,0,0
 853,233200,100,0,0
 854,233100,100,0,0
 855,233000,100,0,0
 856,233900,100,1000,10
 857,233800,100,0,0
 858,233700,100,0,0
 859,234600,100,1000,10
 860,239500,100,5000,50
 861,239500,100,100,1
 862,239400,100,0,0
 863,239300,100,0,0
 864,239200,100,0,0
 865,239100,100,0,0
 866,239100,100,100,1
 867,239000,100,0,0
 868,238900,100,0,0
 869,238800,100,0,0
 870,238700,100,0,0
 871,238600,100,0,0
 872,238500,100,0,0
 873,240900,100,2500,25
 874,240800,100,0,0
 875,240700,100,0,0
 876,240600,100,0,0
 877,240500,100,0,0
 878,240400,100,0,0
 879,240300,100,0,0
 880,240200,100,0,0
 881,240100,100,0,0
 882,240000,100,0,0
 883,239900,100,0,0
 884,239800,100,0,0
 885,249700,100,10000,100
 886,250600,100,1000,10
 887,251500,100,1000,10
 888,251400,100,0,0
 889,251300,100,0,0
 890,251300,100,100,1
 891,251200,100,0,0
 892,251100,100,0,0
 893,251000,100,0,0
 894,250900,100,0,0
 895,250800,100,0,0
 896,250700,100,0,0
 897,250600,100,0,0
 898,250500,100,0,0
 899,250400,100,0,0
 900,250400,100,100,1
 901,251300,100,1000,10
 902,251200,100,0,0
 903,251100,100,0,0
 904,251000,100,0,0
 905,251000,100,100,1
 906,250900,100,0,0
 907,250800,100,0,0
 908,250800,100,100,1
 909,250800,100,100,1
 910,250700,100,0,0
 911,250600,100,0,0
 912,255500,100,5000,50
 913,255400,100,0,0
 914,255300,100,0,0
 915,255200,100,0,0
 916,255100,100,0,0
 917,255000,100,0,0
 918,255000,100,100,1
 919,259900,100,5000,50
 920,259800,100,0,0
 921,259700,100,0,0
 922,262100,100,2500,25
 923,262000,100,0,0
 924,261900,100,0,0
 925,261800,100,0,0
 926,261700,100,0,0
 927,261600,100,0,0
 928,264000,100,2500,25
 929,263900,100,0,0
 930,264800,100,1000,10
 931,264800,100,100,1
 932,264700,100,0,0
 933,264600,100,0,0
 934,264500,100,0,0
 935,264400,100,0,0
 936,264300,100,0,0
 937,264200,100,0,0
 938,264100,100,0,0
 939,264000,100,0,0
 940,264900,100,1000,10
 941,264800,100,0,0
 942,264700,100,0,0
 943,264700,100,100,1
 944,274600,100,10000,100
 945,274500,100,0,0
 946,274400,100,0,0
 947,274300,100,0,0
 948,274300,100,100,1
 949,274200,100,0,0
 950,274100,100,0,0
 951,274000,100,0,0
 952,278900,100,5000,50
 953,278800,100,0,0
 954,278800,100,100,1
 955,278700,100,0,0
 956,278600,100,0,0
 957,278500,100,0,0
 958,278500,100,100,1
 959,278400,100,0,0
 960,278300,100,0,0
 961,278200,100,0,0
 962,278200,100,100,1
 963,278100,100,0,0
 964,278000,100,0,0
 965,277900,100,0,0
 966,277800,100,0,0
 967,277700,100,0,0
 968,277600,100,0,0
 969,277600,100,100,1
 970,277500,100,0,0
 971,277400,100,0,0
 972,277300,100,0,0
 973,277200,100,0,0
 974,277100,100,0,0
 975,277000,100,0,0
 976,276900,100,0,0
 977,277800,100,1000,10
 978,282700,100,5000,50
 979,283600,100,1000,10
 980,284500,100,1000,10
 981,286900,100,2500,25
 982,286800,100,0,0
 983,286700,100,0,0
 984,286600,100,0,0
 985,287500,100,1000,10
 986,287400,100,0,0
 987,287300,100,0,0
 988,287200,100,0,0
 989,287100,100,0,0
 990,292000,100,5000,50
 991,291900,100,0,0
 992,291800,100,0,0
 993,291700,100,0,0
 994,292600,100,1000,10
 995,292600,100,100,1
 996,293500,100,1000,10
 997,293400,100,0,0
 998,293300,100,0,0
 999,293200,100,0,0
 1000,293100,100,0,0
 1001,293000,100,0,0
 1002,292900,100,0,0
 1003,292800,100,0,0
 1004,292700,100,0,0
 1005,292600,100,0,0
 1006,292500,100,0,0
 1007,292400,100,0,0
 1008,292300,100,0,0
 1009,292200,100,0,0
 1010,292100,100,0,0
 1011,294500,100,2500,25
 1012,294400,100,0,0
 1013,294300,100,0,0
 1014,294200,100,0,0
 1015,294100,100,0,0
 1016,294000,100,0,0
 1017,303900,100,10000,100
 1018,306300,100,2500,25
 1019,306200,100,0,0
 1020,306100,100,0,0
 1021,308500,100,2500,25
 1022,309400,100,1000,10
 1023,309300,100,0,0
 1024,309200,100,0,0
 1025,309100,100,0,0
 1026,309000,100,0,0
 1027,308900,100,0,0
 1028,308800,100,0,0
 1029,308700,100,0,0
 1030,308600,100,0,0
 1031,308500,100,0,0
 1032,313400,100,5000,50
 1033,313300,100,0,0
 1034,313200,100,0,0
 1035,313100,100,0,0
 1036,313000,100,0,0
 1037,313000,100,100,1
 1038,312900,100,0,0
 1039,312800,100,0,0
 1040,312700,100,0,0
 1041,312600,100,0,0
 1042,313500,100,1000,10
 1043,313400,100,0,0
 1044,313300,100,0,0
 1045,315700,100,2500,25
 1046,315600,100,0,0
 1047,315500,100,0,0
 1048,315400,100,0,0
 1049,317800,100,2500,25
 1050,317700,100,0,0
 1051,317600,100,0,0
 1052,317600,100,100,1
 1053,317600,100,100,1
 1054,317500,100,0,0
 1055,317400,100,0,0
 1056,317400,100,100,1
 1057,318300,100,1000,10
 1058,318200,100,0,0
 1059,318200,100,100,1
 1060,318200,100,100,1
 1061,318100,100,0,0
 1062,318000,100,0,0
 1063,317900,100,0,0
 1064,317800,100,0,0
 1065,317700,100,0,0
 1066,317600,100,0,0
 1067,317500,100,0,0
